actor_name,movie_count,actor_id,tier
Robert De Niro,54,1,1
Morgan Freeman,47,2,1
Johnny Depp,41,3,1
Bruce Willis,40,4,1
Matt Damon,38,5,1
Steve Buscemi,37,6,1
Brad Pitt,34,7,1
Nicolas Cage,34,8,1
Liam Neeson,34,9,1
Bill Murray,34,10,1
Will Ferrell,32,11,1
Denzel Washington,32,12,1
J.K. Simmons,31,13,1
Scarlett Johansson,30,14,1
Anthony Hopkins,30,15,1
Jim Broadbent,30,16,1
Harrison Ford,29,17,1
Robert Downey Jr.,29,18,1
Tom Cruise,29,19,1
James Franco,28,20,1
Christian Bale,28,21,1
Tom Hanks,28,22,1
Robin Williams,27,23,1
Sylvester Stallone,27,24,1
Julia Roberts,27,25,1
Tom Wilkinson,27,26,1
Kirsten Dunst,26,27,1
Jason Statham,26,28,1
Meryl Streep,26,29,1
Matthew McConaughey,26,30,1
Angelina Jolie Pitt,25,31,1
Judy Greer,25,32,1
Philip Seymour Hoffman,25,33,1
Gerard Butler,25,34,1
Keanu Reeves,25,35,1
Robert Duvall,25,36,1
Jeff Bridges,24,37,1
Adam Sandler,24,38,1
Charlize Theron,24,39,1
Anne Hathaway,24,40,1
Hugh Jackman,24,41,1
Dwayne Johnson,23,42,1
Gary Oldman,23,43,1
Kate Winslet,22,44,1
Kevin Spacey,22,45,1
Naomi Watts,22,46,1
Leonardo DiCaprio,22,47,1
Dennis Quaid,22,48,1
Channing Tatum,22,49,1
Oliver Platt,21,50,1
Rosario Dawson,21,51,1
Al Pacino,21,52,1
Stephen Root,20,53,1
Jake Gyllenhaal,20,54,1
Bradley Cooper,20,55,1
Kristen Stewart,20,56,1
Steve Carell,20,57,1
Natalie Portman,20,58,1
Will Smith,20,59,1
Jason Flemyng,20,60,1
Paul Walker,19,61,2
Colin Firth,19,62,2
Bruce Greenwood,19,63,2
Ryan Reynolds,19,64,2
Vin Diesel,19,65,2
Milla Jovovich,19,66,2
Zooey Deschanel,19,67,2
Viggo Mortensen,19,68,2
Salma Hayek,19,69,2
Joseph Gordon-Levitt,19,70,2
Jon Favreau,18,71,2
Ray Winstone,18,72,2
Jada Pinkett Smith,18,73,2
Brendan Fraser,17,74,2
Ryan Gosling,17,75,2
Scott Glenn,17,76,2
Chloë Grace Moretz,17,77,2
Steve Coogan,17,78,2
Demi Moore,16,79,2
Clifton Collins Jr.,16,80,2
Bob Hoskins,16,81,2
William Hurt,16,82,2
John Heard,16,83,2
Matthew Broderick,16,84,2
Bruce McGill,16,85,2
Clint Eastwood,16,86,2
Michael Rapaport,16,87,2
Sam Shepard,15,88,2
Jennifer Lawrence,15,89,2
Christopher Lee,15,90,2
Don Cheadle,15,91,2
Delroy Lindo,15,92,2
Jamie Lee Curtis,15,93,2
Gary Cole,15,94,2
Anna Kendrick,15,95,2
Chris Hemsworth,15,96,2
Jennifer Jason Leigh,15,97,2
Lin Shaye,15,98,2
Olivia Wilde,15,99,2
Josh Hutcherson,15,100,2
Djimon Hounsou,15,101,2
Mila Kunis,15,102,2
Chazz Palminteri,15,103,2
Michael Fassbender,15,104,2
Jennifer Garner,15,105,2
Catherine O'Hara,14,106,2
Emma Stone,14,107,2
Bernie Mac,14,108,2
Amy Poehler,14,109,2
Mike Epps,14,110,2
Peter Dinklage,14,111,2
Alfre Woodard,14,112,2
Jay Hernandez,14,113,2
Nia Long,14,114,2
Martin Landau,14,115,2
Frank Langella,14,116,2
Adam Scott,14,117,2
Loretta Devine,14,118,2
Jon Lovitz,14,119,2
Tom Hardy,13,120,2
Jet Li,13,121,2
Robin Wright,13,122,2
Rufus Sewell,13,123,2
Holly Hunter,13,124,2
Rip Torn,13,125,2
Michael Angarano,13,126,2
Mekhi Phifer,13,127,2
Mike Starr,13,128,2
Bill Cobbs,13,129,2
Kristin Scott Thomas,13,130,2
Minnie Driver,13,131,2
Chris Evans,13,132,2
Thomas Kretschmann,13,133,2
Aidan Quinn,12,134,2
Bruce Dern,12,135,2
Eddie Marsan,12,136,2
Fred Willard,12,137,2
Bokeem Woodbine,12,138,2
Paul Sorvino,12,139,2
Charlotte Rampling,12,140,2
Michael Biehn,12,141,2
Logan Lerman,12,142,2
Sarah Michelle Gellar,12,143,2
Thomas Lennon,12,144,2
Vivica A. Fox,12,145,2
Natasha Lyonne,12,146,2
Jeremy Renner,12,147,2
Daniel Radcliffe,12,148,2
Udo Kier,12,149,2
Mark Margolis,12,150,2
Cary-Hiroyuki Tagawa,12,151,2
Alexa PenaVega,12,152,2
Radha Mitchell,12,153,2
Virginia Madsen,12,154,2
Cheech Marin,11,155,2
Mako,11,156,2
Joan Allen,11,157,2
Hal Holbrook,11,158,2
Dominic Cooper,11,159,2
Janeane Garofalo,11,160,2
Cole Hauser,11,161,2
Tony Curran,11,162,2
Toby Jones,11,163,2
Tim Blake Nelson,11,164,2
Clea DuVall,11,165,2
Michael Wincott,11,166,2
Callum Rennie,11,167,2
Woody Allen,11,168,2
Anjelica Huston,11,169,2
Kelly Preston,11,170,2
Fisher Stevens,11,171,2
Ethan Embry,11,172,2
Hayden Christensen,11,173,2
Nathan Lane,11,174,2
Sissy Spacek,11,175,2
Orlando Bloom,11,176,2
Harold Perrineau,11,177,2
Vanessa Redgrave,11,178,2
Adam Goldberg,11,179,2
Olivia Williams,11,180,2
Shirley Henderson,11,181,2
David Oyelowo,11,182,2
Albert Brooks,11,183,2
Alan Rickman,11,184,2
Tony Goldwyn,10,185,2
LL Cool J,10,186,2
Dylan Baker,10,187,2
Stockard Channing,10,188,2
Tom Skerritt,10,189,2
Ethan Suplee,10,190,2
Craig T. Nelson,10,191,2
Larry Miller,10,192,2
Common,10,193,2
Michael Kelly,10,194,2
Frances Fisher,10,195,2
Michael Jai White,10,196,2
Cedric the Entertainer,10,197,2
Miranda Richardson,10,198,2
Treat Williams,10,199,2
Romany Malco,10,200,2
Donald Pleasence,10,201,2
Dave Chappelle,10,202,2
Heath Ledger,10,203,2
James Frain,10,204,2
Ben Mendelsohn,10,205,2
Dianne Wiest,10,206,2
Joe Morton,10,207,2
Faizon Love,10,208,2
Ed Begley Jr.,10,209,2
Donald Faison,10,210,2
Benedict Cumberbatch,10,211,2
Beverly D'Angelo,10,212,2
Christoph Waltz,10,213,2
Justin Timberlake,10,214,2
John Ratzenberger,10,215,2
Kevin Pollak,10,216,2
Ellen Burstyn,10,217,2
Desmond Llewelyn,10,218,2
Alyson Hannigan,10,219,2
John Michael Higgins,10,220,2
Hope Davis,10,221,2
Colin Salmon,10,222,2
Omar Epps,9,223,2
Kevin Zegers,9,224,2
Vincent Pastore,9,225,2
Anne Heche,9,226,2
Jacob Vargas,9,227,2
Lili Taylor,9,228,2
Rupert Everett,9,229,2
Michael McKean,9,230,2
Frances Conroy,9,231,2
Bob Gunton,9,232,2
Ty Burrell,9,233,2
Dorian Missick,9,234,2
Billy Burke,9,235,2
Ivana Milicevic,9,236,2
Carmen Electra,9,237,2
Taylor Lautner,9,238,2
Jim Belushi,9,239,2
Alicia Witt,9,240,2
Jennifer Ehle,9,241,2
Costas Mandylor,9,242,2
Emily Watson,9,243,2
Jon Heder,9,244,2
Barry Corbin,9,245,2
Tom Arnold,9,246,2
Colm Feore,9,247,2
Philip Baker Hall,9,248,2
Sarah Polley,9,249,2
Mark Addy,9,250,2
Leslie Bibb,9,251,2
Bryce Dallas Howard,9,252,2
Eddie Griffin,9,253,2
Leonard Nimoy,9,254,2
Will Forte,9,255,2
Haley Joel Osment,9,256,2
Joe Mantegna,9,257,2
Julian Richings,9,258,2
Noah Emmerich,9,259,2
Harry Lennix,9,260,2
Debi Mazar,9,261,2
Vanessa Williams,9,262,2
Blythe Danner,9,263,2
Robert Forster,9,264,2
Eric Idle,9,265,2
Jordi Mollà,9,266,2
Jon Hamm,9,267,2
Jeffrey Jones,9,268,2
Samantha Morton,9,269,2
Marlon Brando,9,270,2
Rob Riggle,9,271,2
Tom Berenger,9,272,2
Alexander Skarsgård,9,273,2
Frank Grillo,9,274,2
Stephen Rea,9,275,2
Mo'Nique,9,276,2
Bob Balaban,9,277,2
Eric Stoltz,9,278,2
Brian Dennehy,9,279,2
Billy Crudup,9,280,2
Chris Penn,9,281,2
Edgar Ramírez,9,282,2
Jake Busey,9,283,2
Hector Elizondo,9,284,2
Jon Gries,9,285,2
Connie Nielsen,9,286,2
Faye Dunaway,8,287,2
Charles S. Dutton,8,288,2
James Coburn,8,289,2
Rupert Grint,8,290,2
Peter Gallagher,8,291,2
Hayley Atwell,8,292,2
Frank Welker,8,293,2
Kathleen Turner,8,294,2
Kelly Macdonald,8,295,2
Peter Coyote,8,296,2
Josh Gad,8,297,2
Glenn Morshower,8,298,2
F. Murray Abraham,8,299,2
Frankie Muniz,8,300,2
Richard Schiff,8,301,2
Zoë Kravitz,8,302,2
Joe Lo Truglio,8,303,2
Albert Finney,8,304,2
Lois Maxwell,8,305,2
Bill Duke,8,306,2
Kevin Dunn,8,307,2
America Ferrera,8,308,2
Teri Polo,8,309,2
Scott Porter,8,310,2
Mary Lynn Rajskub,8,311,2
Kevin McNally,8,312,2
Rainn Wilson,8,313,2
Dougray Scott,8,314,2
Imelda Staunton,8,315,2
James Nesbitt,8,316,2
Marc Blucas,8,317,2
Seymour Cassel,8,318,2
Denis O'Hare,8,319,2
Norman Reedus,8,320,2
Reg E. Cathey,8,321,2
Christopher Lambert,8,322,2
Ewen Bremner,8,323,2
Lea Thompson,8,324,2
Diedrich Bader,8,325,2
Julie Walters,8,326,2
Julian Sands,8,327,2
Harry Connick Jr.,8,328,2
Tina Fey,8,329,2
William Hootkins,8,330,2
Sally Hawkins,8,331,2
Abbie Cornish,8,332,2
Boris Kodjoe,8,333,2
M. Emmet Walsh,8,334,2
Sanaa Lathan,8,335,2
Will Patton,8,336,2
Wayne Knight,8,337,2
Beth Grant,8,338,2
Rene Russo,8,339,2
Robert Pattinson,8,340,2
Derek Jacobi,8,341,2
Alan Ruck,8,342,2
Monica Potter,8,343,2
Kieran Culkin,8,344,2
Jimmy Bennett,8,345,2
Curtis Armstrong,7,346,3
Martin Short,7,347,3
Mark Webber,7,348,3
Natasha Henstridge,7,349,3
Blair Underwood,7,350,3
Jason Ritter,7,351,3
Kevin Corrigan,7,352,3
Stacy Keach,7,353,3
Henry Cavill,7,354,3
Jordana Brewster,7,355,3
Rory Culkin,7,356,3
Jamie Kennedy,7,357,3
Michael Jeter,7,358,3
Paddy Considine,7,359,3
Linda Cardellini,7,360,3
Julia Ormond,7,361,3
Sean Pertwee,7,362,3
George Kennedy,7,363,3
Joel David Moore,7,364,3
Paul Guilfoyle,7,365,3
Timothy Hutton,7,366,3
Noel Gugliemi,7,367,3
Sophie Okonedo,7,368,3
Sela Ward,7,369,3
Sarah Silverman,7,370,3
James Corden,7,371,3
Brian Blessed,7,372,3
Randy Quaid,7,373,3
Kevin Sussman,7,374,3
Peter Boyle,7,375,3
Madeline Kahn,7,376,3
Kurtwood Smith,7,377,3
Nate Parker,7,378,3
Shannon Elizabeth,7,379,3
Cicely Tyson,7,380,3
Amy Sedaris,7,381,3
Eddie Izzard,7,382,3
Stephen Graham,7,383,3
Roger Rees,7,384,3
Elden Henson,7,385,3
Derek Luke,7,386,3
Judge Reinhold,7,387,3
Stephen McHattie,7,388,3
Daniel von Bargen,7,389,3
Laz Alonso,7,390,3
George Carlin,7,391,3
Ellen Barkin,7,392,3
Catherine Deneuve,7,393,3
Jack O'Connell,7,394,3
Debra Messing,7,395,3
Danny Huston,7,396,3
John Witherspoon,7,397,3
Deborah Kara Unger,7,398,3
David Carradine,7,399,3
Eddie Redmayne,7,400,3
Kenan Thompson,7,401,3
Snoop Dogg,7,402,3
Spencer Wilding,7,403,3
Xander Berkeley,7,404,3
John Gielgud,7,405,3
Tyler Labine,7,406,3
Clint Howard,7,407,3
Jim Sturgess,7,408,3
Lena Olin,7,409,3
Chris Klein,7,410,3
Amber Valletta,7,411,3
Regina Hall,7,412,3
Nichelle Nichols,7,413,3
Scoot McNairy,7,414,3
Eddie Cibrian,7,415,3
Andrew Garfield,7,416,3
Mike Vogel,7,417,3
Alison Lohman,7,418,3
Gretchen Mol,7,419,3
Tom Everett Scott,7,420,3
Daniel Roebuck,7,421,3
RZA,7,422,3
Bridget Fonda,7,423,3
CCH Pounder,7,424,3
Thomas F. Wilson,7,425,3
Charlie Hunnam,6,426,3
Ted Danson,6,427,3
Li Gong,6,428,3
Chi McBride,6,429,3
Catherine McCormack,6,430,3
Brad Garrett,6,431,3
Lochlyn Munro,6,432,3
Jennifer Esposito,6,433,3
Jack Davenport,6,434,3
Tony Cox,6,435,3
Fred Ward,6,436,3
Joseph Gilgun,6,437,3
Michael O'Neill,6,438,3
John Savage,6,439,3
Teri Garr,6,440,3
Shawn Hatosy,6,441,3
Ashley Scott,6,442,3
Matt Walsh,6,443,3
Ari Graynor,6,444,3
Dan Fogler,6,445,3
Corbin Bleu,6,446,3
Sarah Gadon,6,447,3
Roddy McDowall,6,448,3
Alex Rocco,6,449,3
Alex Pettyfer,6,450,3
Jaime King,6,451,3
Nicholas Gonzalez,6,452,3
Victor Wong,6,453,3
Mark Duplass,6,454,3
Vinessa Shaw,6,455,3
James Ransone,6,456,3
Yaphet Kotto,6,457,3
M.C. Gainey,6,458,3
Oprah Winfrey,6,459,3
Sean Hayes,6,460,3
Eva Green,6,461,3
Chris Noth,6,462,3
Ioan Gruffudd,6,463,3
Chris Bauer,6,464,3
Martin Starr,6,465,3
Stephen Dillane,6,466,3
Kane Hodder,6,467,3
Alia Shawkat,6,468,3
Brenda Blethyn,6,469,3
Wes Studi,6,470,3
Tamala Jones,6,471,3
Shawnee Smith,6,472,3
Josh Charles,6,473,3
Zach Gilford,6,474,3
Anupam Kher,6,475,3
Tracy Morgan,6,476,3
Margot Kidder,6,477,3
James Mason,6,478,3
Julie Benz,6,479,3
Aaron Yoo,6,480,3
Anne Bancroft,6,481,3
Ruby Dee,6,482,3
Campbell Scott,6,483,3
Elizabeth Perkins,6,484,3
